StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,Q2_Browser,Q2_Version,Q2_Operating System,Q2_Resolution,Consent,Age,Gender,Gender_5_TEXT,Income,Environment,IT,S1_2035_EC_AN,S1_2035_EC_RN,S1_2035_EM_AN,S1_2035_EM_RN,S1_2035_MM_AN,S1_2035_MM_RN,S1_2050_EC_AN,S1_2050_EC_RN,S1_2050_EM_AN,S1_2050_EM_RN,S1_2050_MM_AN,S1_2050_MM_RN,S1_3535_EC_AN,S1_3535_EC_RN,S1_3535_EM_AN,S1_3535_EM_RN,S2_2035_EC_AN,S2_2035_EC_RN,S2_2035_EM_AN,S2_2035_EM_RN,S2_2035_MM_AN,S2_2035_MM_RN,S2_2050_EC_AN,S2_2050_EC_RN,S2_2050_EM_AN,S2_2050_EM_RN,S2_2050_MM_AN,S2_2050_MM_RN,S2_3535_EC_AN,S2_3535_EC_RN,S2_3535_EM_AN,S2_3535_EM_RN,Q58,Q55,Q55_12_TEXT,Q62,Q54
Anfangsdatum,Enddatum,Antworttyp,IP-Adresse,Aktueller Stand,Dauer (in Sekunden),Beendet,Erfassungsdatum,Antwort-ID,Nachname des Empfängers,Vorname des Empfängers,E-Mail des Empfängers,Externe Datenreferenz,Breitengrad des Standorts,Längengrad des Standorts,Verteilungskanal,Benutzersprache,Zur Eingabe von Fragentext klicken Sie hier – Browser,Zur Eingabe von Fragentext klicken Sie hier – Version,Zur Eingabe von Fragentext klicken Sie hier – Betriebssystem,Zur Eingabe von Fragentext klicken Sie hier – Auflösung,"Thank you for your interest! 

You are invited to take part in a discrete choice experiment focused on mobility policy. The goal of this survey is to better our understanding of travel preferences and behavior to inform mobility legislation.



This survey will take around 5 minutes and begin with demographic questions, followed by two blocks of discrete choice experiments and conclude with general questions about mobility patterns.



The information you provide will be used solely for research purposes as part of a course assignment at the Technical University of Munich. By proceeding, you consent to participate voluntarily and agree to the collection of your data for the purpose of this research.



Thank you for your valuable contribution.",What is your age?,What is your gender? - Selected Choice,What is your gender? - Other – Text,What is your average annual income?,Where do you live?,How would you rate your skills regarding information technology?,S1_2035_EC_AN,S1_2035_EC_RN,S1_2035_EM_AN,S1_2035_EM_RN,S1_2035_MM_AN,S1_2035_MM_RN,S1_2050_EC_AN,S1_2050_EC_RN,S1_2050_EM_AN,S1_2050_EM_RN,S1_2050_MM_AN,S1_2050_MM_RN,S1_3535_EC_AN,S1_3535_EC_RN,S1_3535_EM_AN,S1_3535_EM_RN,S2_2035_EC_AN,S2_2035_EC_RN,S2_2035_EM_AN,S2_2035_EM_RN,S2_2035_MM_AN,S2_2035_MM_RN,S2_2050_EC_AN,S2_2050_EC_RN,S2_2050_EM_AN,S2_2050_EM_RN,S2_2050_MM_AN,S2_2050_MM_RN,S2_3535_EC_AN,S2_3535_EC_RN,S2_3535_EM_AN,S2_3535_EM_RN,How many different navigation and route planning tools do you use on a daily basis?,Which modes of transport do you typically use for your commute or leisure trip? Please select all that apply. - Selected Choice,Which modes of transport do you typically use for your commute or leisure trip? Please select all that apply. - Other – Text,How long is your average commute?,Is there anything else you want to tell us?
"{""ImportId"":""startDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""endDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""status""}","{""ImportId"":""ipAddress""}","{""ImportId"":""progress""}","{""ImportId"":""duration""}","{""ImportId"":""finished""}","{""ImportId"":""recordedDate"",""timeZone"":""Europe/Berlin""}","{""ImportId"":""_recordId""}","{""ImportId"":""recipientLastName""}","{""ImportId"":""recipientFirstName""}","{""ImportId"":""recipientEmail""}","{""ImportId"":""externalDataReference""}","{""ImportId"":""locationLatitude""}","{""ImportId"":""locationLongitude""}","{""ImportId"":""distributionChannel""}","{""ImportId"":""userLanguage""}","{""ImportId"":""QID2_BROWSER""}","{""ImportId"":""QID2_VERSION""}","{""ImportId"":""QID2_OS""}","{""ImportId"":""QID2_RESOLUTION""}","{""ImportId"":""QID7""}","{""ImportId"":""QID67""}","{""ImportId"":""QID57""}","{""ImportId"":""QID57_5_TEXT""}","{""ImportId"":""QID60""}","{""ImportId"":""QID63""}","{""ImportId"":""QID68""}","{""ImportId"":""QID19""}","{""ImportId"":""QID20""}","{""ImportId"":""QID21""}","{""ImportId"":""QID22""}","{""ImportId"":""QID23""}","{""ImportId"":""QID24""}","{""ImportId"":""QID25""}","{""ImportId"":""QID26""}","{""ImportId"":""QID27""}","{""ImportId"":""QID28""}","{""ImportId"":""QID29""}","{""ImportId"":""QID30""}","{""ImportId"":""QID31""}","{""ImportId"":""QID32""}","{""ImportId"":""QID33""}","{""ImportId"":""QID34""}","{""ImportId"":""QID38""}","{""ImportId"":""QID39""}","{""ImportId"":""QID40""}","{""ImportId"":""QID41""}","{""ImportId"":""QID42""}","{""ImportId"":""QID43""}","{""ImportId"":""QID44""}","{""ImportId"":""QID45""}","{""ImportId"":""QID46""}","{""ImportId"":""QID47""}","{""ImportId"":""QID48""}","{""ImportId"":""QID49""}","{""ImportId"":""QID50""}","{""ImportId"":""QID51""}","{""ImportId"":""QID52""}","{""ImportId"":""QID53""}","{""ImportId"":""QID58""}","{""ImportId"":""QID55""}","{""ImportId"":""QID55_12_TEXT""}","{""ImportId"":""QID62""}","{""ImportId"":""QID54_TEXT""}"
2024-08-30 10:28:13,2024-08-30 10:32:38,0,176.2.0.3,100,264,1,2024-08-30 10:32:38,R_85X6EFJluHI3k6Y,,,,,51.2993,9.491,anonymous,DE,Edge,127.0.0.0,Windows NT 10.0,1600x1067,1,1,2,,1,3,1,1,1,1,2,1,,1,1,1,1,1,,,,1,2,,,,2,,,1,,,2,,,,,,2,9,"5,3,7,10",,5,
2024-08-30 10:52:32,2024-08-30 10:54:11,0,79.220.60.119,100,99,1,2024-08-30 10:54:12,R_2uJKR3RdLkaccdX,,,,,48.1576,11.4235,anonymous,DE,Chrome,128.0.0.0,Android 10,412x892,1,14,5,Ba/lls,5,5,1,,1,1,1,,1,1,1,1,1,1,1,1,1,,,,1,,,,,,1,1,1,,,,,,,5,12,Porsche,1,Porsche
2024-08-30 11:02:56,2024-08-30 11:04:45,0,172.226.131.42,100,108,1,2024-08-30 11:04:45,R_8ICMpoehkeoXB2p,,,,,48.2049,16.3662,anonymous,DE,Safari iPhone,17.5,iPhone,393x852,1,1,2,,1,7,2,1,1,1,1,1,,1,1,,1,1,1,,,1,1,,2,,,1,,,,,,,2,,1,,,1,"5,2,1,3,7,13,10",,3,
2024-08-30 11:05:01,2024-08-30 11:06:08,0,172.226.131.42,100,67,1,2024-08-30 11:06:08,R_22VLFFqHHh74re8,,,,,48.2049,16.3662,anonymous,DE,Safari iPhone,17.5,iPhone,393x852,1,4,1,,2,3,5,2,2,2,2,,2,2,2,,2,1,1,1,,1,,,,2,2,1,,,,,,,1,,,,,9,"2,1,13",,5,I like trains
2024-08-30 11:08:33,2024-08-30 11:11:42,0,104.28.62.41,100,188,1,2024-08-30 11:11:42,R_2e2NYjxJTmx5HZj,,,,,51.2993,9.491,anonymous,DE,Safari,17.6,Macintosh,1440x900,1,1,1,,3,7,2,1,1,,,1,,1,1,1,1,1,1,1,1,,1,,,,,,,1,1,1,,,1,,,,,1,"5,2,13",,3,
2024-08-30 11:08:10,2024-08-30 11:12:57,0,84.171.225.75,100,286,1,2024-08-30 11:12:57,R_2n0FxwIhZS3Jy2x,,,,,47.9818,10.1853,anonymous,DE,Chrome,128.0.0.0,Android 10,412x892,1,1,2,,1,3,1,1,,1,1,1,1,1,1,,,1,1,1,1,1,,1,1,,,,,,,,1,,,,1,,,1,"5,2,1,3,7,13,10",,5,
2024-08-30 11:08:58,2024-08-30 11:18:35,0,95.90.199.158,100,577,1,2024-08-30 11:18:36,R_2rGGTD6aJfvHAmG,,,,,48.5309,12.1559,anonymous,DE,Chrome,122.0.0.0,Android 10,412x839,1,1,1,,1,3,5,1,1,1,1,1,1,1,,1,1,,,,1,1,1,,,,,,1,,,1,,,,,,1,1,1,"5,3,7",,1,
2024-08-30 11:17:21,2024-08-30 11:22:04,0,109.43.51.164,100,283,1,2024-08-30 11:22:05,R_2Ji4oSFhWihw5nr,,,,,48.1872,11.4802,anonymous,DE,Chrome,119.0.0.0,Android 10,384x832,1,1,1,,2,5,2,,1,1,,1,1,1,1,1,,1,1,,1,1,1,,1,,,,,,,,1,1,1,,,,,1,"2,1,7",,3,
